ESTACIÓN DE SERVICIO,RAZÓN SOCIAL,DOMICILIO,ENTIDAD FEDERATIVA,MUNICIPIO,EXPEDIENTE,FECHA DE VERIFICACIÓN,SEMAFORO AL 18 DE SEPTIEMBRE DE 2012
1477,"GASOLINERA ENTRONQUE MADERO,S.A. DE C.V.                                                                                                                                                                                                                       ",ENTRONQUE CARR. TORREON-SAN PEDRO                                                                                                                                                                                                                              ,COAHUILA                 ,FRANCISCO I MADERO                                                                                                                                                                                                                                             ,16/008907-2012                                    ,25/04/2012,VERDE
1479,"GASOLINERA SACRAMENTO, S.A.                                                                                                                                                                                                                                    ",KM. 1 CARR. TLAHUALILO                                                                                                                                                                                                                                         ,DURANGO                  ,GOMEZ PALACIO                                                                                                                                                                                                                                                  ,16/008914-2012                                    ,27/04/2012,VERDE
1484,"SERVICIO MATAMOROS, S.A. DE C.V.                                                                                                                                                                                                                               ",KM.251 DE LA CARR. MATAMOROS-MAZATLAN                                                                                                                                                                                                                          ,COAHUILA                 ,MATAMOROS                                                                                                                                                                                                                                                      ,07/005653-2012                                    ,23/03/2012,VERDE
149,"SERVICIO JAVIER MEZA, SA DE CV                                                                                                                                                                                                                                 ",AV. TLAHUAC NO. 8308                                                                                                                                                                                                                                           ,DISTRITO FEDERAL         ,TLAHUAC                                                                                                                                                                                                                                                        ,07/012214-2012                                    ,15/06/2012,VERDE
1492,ANGELA CAROLINA BARRERA FLORES                                                                                                                                                                                                                                 ,AV. BRAVO No. 2800 OTE.                                                                                                                                                                                                                                        ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/013550-2012                                    ,06/07/2012,VERDE
1494,"SERVICIO REMM, S.A. DE C.V.                                                                                                                                                                                                                                    ",BLVD. INDEPENDENCIA Y R. CORONA                                                                                                                                                                                                                                ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/015359-2012                                    ,03/08/2012,VERDE
1495,"GAS NUEVO MILENIO, S.A. DE C.V.                                                                                                                                                                                                                                ",BRAVO Y NIºOS HEROES                                                                                                                                                                                                                                           ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/008908-2012                                    ,25/04/2012,VERDE
1495,"GAS NUEVO MILENIO, S.A. DE C.V.                                                                                                                                                                                                                                ",AV. BRAVO Y CALLE NIÑOS HEROES                                                                                                                                                                                                                                 ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/013578-2012                                    ,07/07/2012,VERDE
1496,"GASOLINERA LOS ANGELES, SA DE CV                                                                                                                                                                                                                               ",BLVD. INDEPENDENCIA Y AROCENA SN                                                                                                                                                                                                                               ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/013551-2012                                    ,06/07/2012,VERDE
1496,"GASOLINERA LOS ANGELES, SA DE CV                                                                                                                                                                                                                               ",BLVD. INDEPENDENCIA Y AROCENA SN                                                                                                                                                                                                                               ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/014456-2012                                    ,23/07/2012,VERDE
1498,"AUTO SERVICIO MAYRAN, S.A. DE C.V.                                                                                                                                                                                                                             ",BLVD. REVOLUCION Y ACUNA SN                                                                                                                                                                                                                                    ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/015360-2012                                    ,03/08/2012,VERDE
150,"SERVICIO RHIN Y LERMA, S.A. DE C.V.                                                                                                                                                                                                                            ",Ca Rio Lerma No 71                                                                                                                                                                                                                                             ,DISTRITO FEDERAL         ,CUAUHTEMOC                                                                                                                                                                                                                                                     ,18/006506-2012                                    ,03/04/2012,VERDE
1502,"GRUPO ALGOT Y ASOCIADOS, S.A. DE C.V.                                                                                                                                                                                                                          ",CALZ. CUAUHTEMOC Y AV. VICTORIA                                                                                                                                                                                                                                ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/014477-2012                                    ,30/07/2012,VERDE
1503,AUTO SERVICIO SAN JOAQUIN S.A. DE C.V.                                                                                                                                                                                                                         ,AV. GOMEZ FARIAS Y QUINTA                                                                                                                                                                                                                                      ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/015350-2012                                    ,31/07/2012,VERDE
1504,"AUTO SERVICIO RAMIREZ, SA DE CV                                                                                                                                                                                                                                ",AV. PRESIDENTE CARRANZA NO. 3114 OTE.                                                                                                                                                                                                                          ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/014461-2012                                    ,25/07/2012,VERDE
1507,"GASOLINERA TORREON, SA DE CV                                                                                                                                                                                                                                   ",AV. ALLENDE Y CALLE OCTAVA                                                                                                                                                                                                                                     ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/014462-2012                                    ,25/07/2012,ROJO
1509,BERTHA DOLORES CASTRO MORA                                                                                                                                                                                                                                     ,CALZADA CUAUHTEMOC Y CALLE SIN NOMBRE                                                                                                                                                                                                                          ,COAHUILA                 ,TORREON                                                                                                                                                                                                                                                        ,16/015351-2012                                    ,31/07/2012,VERDE
1517,"CORPORACION GASOLINERA MILLENIUM, S.A. DE C.V.                                                                                                                                                                                                                 ",AV. VALLARTA Y CAMARENA                                                                                                                                                                                                                                        ,JALISCO                  ,GUADALAJARA                                                                                                                                                                                                                                                    ,11/008712-2012                                    ,02/05/2012,VERDE
1520,"GRUPO INDUSTRIAL TAJALI, S.A.                                                                                                                                                                                                                                  ",CALZ.INDEPENDENCIA SUR NO.618 ESQ.C.RAMON CORONA                                                                                                                                                                                                               ,JALISCO                  ,GUADALAJARA                                                                                                                                                                                                                                                    ,11/008714-2012                                    ,02/05/2012,VERDE
1527,"SERVICIOS CALZADA INDEPENDENCIA, SA DE CV                                                                                                                                                                                                                      ",CALZ. INDEPENDENCIA NORTE NO. 860                                                                                                                                                                                                                              ,JALISCO                  ,GUADALAJARA                                                                                                                                                                                                                                                    ,15/014403-2012                                    ,20/07/2012,VERDE
1534,"GASOLINERA PLAZA DEL SOL, SA DE CV                                                                                                                                                                                                                             ",CALLE TENOCHTITLAN NO. 1 ESQ. AV. LOPEZ MATEOS                                                                                                                                                                                                                 ,JALISCO                  ,ZAPOPAN                                                                                                                                                                                                                                                        ,15/014395-2012                                    ,17/07/2012,VERDE
1536,VERA GONZALEZ LORENA                                                                                                                                                                                                                                           ,AV. OBREGON NO. 1465 ESQ. SEBASTIAN ALLENDE                                                                                                                                                                                                                    ,JALISCO                  ,GUADALAJARA                                                                                                                                                                                                                                                    ,15/014404-2012                                    ,20/07/2012,VERDE
1540,"SERVICIO ALCALDE, S.A. DE C.V.                                                                                                                                                                                                                                 ",AV. ALCALDE NO. 1005                                                                                                                                                                                                                                           ,JALISCO                  ,GUADALAJARA                                                                                                                                                                                                                                                    ,22/014703-2012                                    ,19/07/2012,VERDE
1555,"ESTACION DE SERVICIO LA SURENA, S.A. DE C.V.                                                                                                                                                                                                                   ",CARRT. GUADALAJARA-BARRA DE NAVIDAD # 15OO                                                                                                                                                                                                                     ,JALISCO                  ,ACATLAN DE JUAREZ                                                                                                                                                                                                                                              ,02/015886-2012                                    ,24/08/2012,VERDE
1562,"SERVICIO CAMARENA,  SA DE CV                                                                                                                                                                                                                                   ",ALVARO OBREGON NO. 293                                                                                                                                                                                                                                         ,JALISCO                  ,ARANDAS                                                                                                                                                                                                                                                        ,22/010075-2012                                    ,07/05/2012,VERDE
1563,"NUEVA ESTACION DE SERVICIO TRES ESTRELLAS NUCHO, SA DE CV                                                                                                                                                                                                      ",KM. 44.500 CARR. TEPATITLAN ARANDAS                                                                                                                                                                                                                            ,JALISCO                  ,ARANDAS                                                                                                                                                                                                                                                        ,22/010076-2012                                    ,07/05/2012,VERDE
1565,"SERVICIO BARAJAS, SA. DE C.V.                                                                                                                                                                                                                                  ",KM.20 CARR.GUADALAJARA-CHAPALA                                                                                                                                                                                                                                 ,JALISCO                  ,TLAJOMULCO DE ZUÑIGA                                                                                                                                                                                                                                           ,22/011979-2012                                    ,11/06/2012,VERDE
1566,TERESA GARCIA MORENO                                                                                                                                                                                                                                           ,CARR.MEXICO-GUADALAJARA Y CALZ. EST. FF.CC.                                                                                                                                                                                                                    ,JALISCO                  ,ATOTONILCO EL ALTO                                                                                                                                                                                                                                             ,22/010088-2012                                    ,11/05/2012,VERDE
1567,BERTHA FUENTES ONATE                                                                                                                                                                                                                                           ,AV. INDEPENDENCIA NO. 48                                                                                                                                                                                                                                       ,JALISCO                  ,ATOTONILCO EL ALTO                                                                                                                                                                                                                                             ,22/010089-2012                                    ,11/05/2012,VERDE
1571,"SERVICIO D`SOTO, SA DE CV                                                                                                                                                                                                                                      ",AVENIDA VALLARTA NO. 168                                                                                                                                                                                                                                       ,JALISCO                  ,AYOTLAN                                                                                                                                                                                                                                                        ,22/010098-2012                                    ,04/05/2012,VERDE
1577,"SERVICIO AGUIRRE CASTELLANOS, S.A. DE C.V.                                                                                                                                                                                                                     ",AV. MADERO N0.528 ESQ. VENUSTIANO CARRANZA                                                                                                                                                                                                                     ,JALISCO                  ,CHAPALA                                                                                                                                                                                                                                                        ,09/011427-2012                                    ,11/06/2012,VERDE
1581,"GASOLINEROS MEXICANOS, S.A. DE C.V.                                                                                                                                                                                                                            ",KM. 9 CARR.GUADALAJARA-EL SALTO                                                                                                                                                                                                                                ,JALISCO                  ,EL SALTO                                                                                                                                                                                                                                                       ,09/015119-2012                                    ,10/08/2012,VERDE
1587,"SERVICIOS SAN JOSE, S.A. DE C.V.                                                                                                                                                                                                                               ",JAVIER MINA NUM. 60                                                                                                                                                                                                                                            ,JALISCO                  ,JALOSTOTITLAN                                                                                                                                                                                                                                                  ,15/016124-2012                                    ,16/08/2012,VERDE
1588,GASOLINERA CASILLAS S.DE R.L. DE C.V.                                                                                                                                                                                                                          ,AV. AGUSTIN YANEZ 411                                                                                                                                                                                                                                          ,JALISCO                  ,JAMAY                                                                                                                                                                                                                                                          ,09/009627-2012                                    ,12/05/2012,VERDE
1591,"GASOLINERA MORENO ROJAS, SA DE CV                                                                                                                                                                                                                              ",CARRT. GUADALAJARA-LA BARCA KM 109                                                                                                                                                                                                                             ,JALISCO                  ,LA BARCA                                                                                                                                                                                                                                                       ,09/009599-2012                                    ,09/05/2012,VERDE
1592,"SERVICIO LA BARCA, SA DE CV                                                                                                                                                                                                                                    ",CALZ. LAZARO CARDENAS SUR NO. 750                                                                                                                                                                                                                              ,JALISCO                  ,LA BARCA                                                                                                                                                                                                                                                       ,09/009600-2012                                    ,09/05/2012,VERDE
1594,"SERVICIO LAS FUENTES, S.A.                                                                                                                                                                                                                                     ",LOPEZ MATEOS NO. 6000                                                                                                                                                                                                                                          ,JALISCO                  ,ZAPOPAN                                                                                                                                                                                                                                                        ,11/009664-2012                                    ,16/05/2012,VERDE
1594,"SERVICIO LAS FUENTES, S.A.                                                                                                                                                                                                                                     ",LOPEZ MATEOS NO. 6000                                                                                                                                                                                                                                          ,JALISCO                  ,ZAPOPAN                                                                                                                                                                                                                                                        ,09/014195-2012                                    ,17/07/2012,VERDE
1595,"SERVICIO MAGDALENA, S.A. DE C.V.                                                                                                                                                                                                                               ",AV. HIDALGO NO. 450                                                                                                                                                                                                                                            ,JALISCO                  ,MAGDALENA                                                                                                                                                                                                                                                      ,15/012085-2012                                    ,11/06/2012,AMARILLO
1596,DUEºAS PEºA MARCELO                                                                                                                                                                                                                                            ,KM.1 CARRETERA PUERTO VALLARTA                                                                                                                                                                                                                                 ,JALISCO                  ,MASCOTA                                                                                                                                                                                                                                                        ,15/009807-2012                                    ,13/05/2012,VERDE
1599,BARAJAS SANCHEZ AURELIO                                                                                                                                                                                                                                        ,PROLONGACION ALCALDE NO. 3970                                                                                                                                                                                                                                  ,JALISCO                  ,ZAPOPAN                                                                                                                                                                                                                                                        ,11/009665-2012                                    ,16/05/2012,VERDE
16,"SERVICIOS SIMPA, S.A. DE C.V.                                                                                                                                                                                                                                  ",TORRES ADALID NO. 1401                                                                                                                                                                                                                                         ,DISTRITO FEDERAL         ,BENITO JUAREZ                                                                                                                                                                                                                                                  ,20/009995-2012                                    ,10/05/2012,VERDE
16,"SERVICIOS SIMPA, S.A. DE C.V.                                                                                                                                                                                                                                  ",TORRES ADALID NO. 1401                                                                                                                                                                                                                                         ,DISTRITO FEDERAL         ,BENITO JUAREZ                                                                                                                                                                                                                                                  ,22/012760-2012                                    ,13/06/2012,AMARILLO
1600,"SERVICIO CAMPOS, S.A. DE C.V.                                                                                                                                                                                                                                  ",KM. 79.5 CARR. GUADALAJARA-LA BARCA                                                                                                                                                                                                                            ,JALISCO                  ,PONCITLAN                                                                                                                                                                                                                                                      ,09/009612-2012                                    ,15/05/2012,VERDE
1601,"SERVICIO TRES DE OCTUBRE, SA DE CV                                                                                                                                                                                                                             ",MANUEL ENRIQUEZ # 686                                                                                                                                                                                                                                          ,JALISCO                  ,OCOTLAN                                                                                                                                                                                                                                                        ,09/009630-2012                                    ,13/05/2012,AMARILLO
1602,"GASOLINERA EL NUEVO FUERTE, SA DE CV                                                                                                                                                                                                                           ",LA PAZ # 10                                                                                                                                                                                                                                                    ,JALISCO                  ,OCOTLAN                                                                                                                                                                                                                                                        ,09/009631-2012                                    ,13/05/2012,VERDE
1603,"GASOLINERA PONCITLAN, S.A. DE C.V.                                                                                                                                                                                                                             ",CALLE MICHOACAN NO.1                                                                                                                                                                                                                                           ,JALISCO                  ,PONCITLAN                                                                                                                                                                                                                                                      ,09/009613-2012                                    ,15/05/2012,VERDE
1604,CORONADO OROZCO EVERARDO                                                                                                                                                                                                                                       ,CA 5 DE MAYO N 580                                                                                                                                                                                                                                             ,JALISCO                  ,TONALA                                                                                                                                                                                                                                                         ,15/012946-2012                                    ,18/06/2012,AMARILLO
161,"CONSORCIO GASOLINERO PLUS, SA DE CV                                                                                                                                                                                                                            ",Ca Carlos B. Zetina No. 117                                                                                                                                                                                                                                    ,DISTRITO FEDERAL         ,MIGUEL HIDALGO                                                                                                                                                                                                                                                 ,19/006270-2012                                    ,03/04/2012,VERDE
1613,"COMBUSTIBLES DANFE, S.A. DE C.V.                                                                                                                                                                                                                               ",ENTRONQUE DE TALA CARR.GUADALAJARA-AMECA-PTO.VALLA                                                                                                                                                                                                             ,JALISCO                  ,TALA                                                                                                                                                                                                                                                           ,15/016135-2012                                    ,23/08/2012,VERDE
1619,"SUPER SERVICIO TEPATITLAN, S.A. DE C.V.                                                                                                                                                                                                                        ",AV. JALISCO Y AV. EL PANTEON                                                                                                                                                                                                                                   ,JALISCO                  ,TEPATITLAN DE MORELOS                                                                                                                                                                                                                                          ,22/010090-2012                                    ,14/05/2012,VERDE
1620,"SERVICIO ESPAºITA, SA DE CV                                                                                                                                                                                                                                    ",KM. 84 CARRET. A SAN LUIS POTOSI                                                                                                                                                                                                                               ,JALISCO                  ,TEPATITLAN DE MORELOS                                                                                                                                                                                                                                          ,22/010092-2012                                    ,15/05/2012,AMARILLO
